,xfoot,yfoot,xknee,yknee
44,946.8530997304582,367.8733153638814,799.1535353535354,408.06666666666666
45,941.9048165137615,394.5045871559633,791.4970760233919,417.09941520467834
46,935.8652657601978,418.00247218788627,783.5472837022132,425.9215291750503
47,927.4227027027027,444.3556756756757,774.4741573033708,433.1393258426966
48,915.890642615558,471.80157835400223,767.9288389513108,439.9700374531835
49,903.7542997542997,495.2985257985258,760.6078431372549,445.8770053475936
50,885.7221269296741,522.2024013722126,752.7915904936015,451.92870201096895
51,865.8956043956044,546.6923076923077,744.3959183673469,456.20204081632653
52,842.551724137931,569.5263157894736,737.595041322314,460.7582644628099
53,814.0814285714285,591.9314285714286,731.6167315175097,464.7976653696498
54,784.329658213892,607.5964718853363,723.8982387475538,468.0665362035225
55,751.5221518987341,616.8101265822785,715.5701943844492,470.7796976241901
56,719.371270718232,624.0243093922652,707.6332622601279,474.36247334754796
57,685.8433889602054,627.5442875481386,698.0128755364807,478.2725321888412
58,654.3201320132014,627.5665566556655,687.7807933194155,481.13361169102296
59,624.4084337349398,624.9433734939759,676.5810526315789,484.3621052631579
60,592.9525462962963,618.4814814814815,664.7247524752476,487.4930693069307
61,565.6195524146054,612.8563015312131,651.2407407407408,489.6028806584362
62,540.031076581576,605.1143174250832,636.3534971644613,491.58790170132323
63,518.9833333333333,580.2333333333333,620.8837675350701,492.9619238476954
64,494.4099099099099,588.451951951952,605.2761904761904,492.4895238095238
65,472.168,579.81,589.1304347826087,490.9413988657845
66,451.2748414376321,570.8858350951374,572.765503875969,488.17054263565893
67,431.34631147540983,562.6516393442623,556.3326732673268,485.009900990099
68,412.66045548654245,555.335403726708,539.8409090909091,480.10537190082647
69,395.3466386554622,547.8739495798319,523.5695364238411,473.98454746136866
70,379.6054852320675,540.4556962025316,508.01521739130436,466.5652173913044
71,364.02991452991455,533.3717948717949,491.54778554778557,457.0
72,351.025,527.1229166666667,475.8531746031746,446.80555555555554
73,339.0241935483871,519.7600806451613,461.74795081967216,435.6045081967213
74,328.09032258064514,512.1182795698925,448.24285714285713,423.4836734693878
75,320.29813664596276,503.69565217391306,436.25442477876106,409.69690265486724
76,312.498023715415,494.4347826086956,425.5220264317181,395.65859030837004
77,306.821568627451,484.11176470588236,415.3755274261603,380.9409282700422
78,301.9901960784314,473.7705882352941,406.8801652892562,366.7210743801653
79,297.98015873015873,461.31150793650795,400.13004484304935,352.2847533632287
80,293.9275929549902,450.0293542074364,394.5123042505593,338.22595078299776
81,291.15547024952014,436.49136276391556,390.4676409185804,324.0918580375783
82,287.875,423.37692307692305,386.64908722109533,310.342799188641
83,285.46679316888043,409.8159392789374,384.17167381974247,297.0386266094421
84,281.762278978389,396.8447937131631,382.8041237113402,284.69072164948454
85,279.53333333333336,383.6141414141414,381.6021276595745,272.5702127659574
86,277.0767676767677,369.3070707070707,381.20964360587004,260.748427672956
87,275.1833648393195,354.9092627599244,381.55765199161425,249.76310272536688
88,272.4011627906977,342.1279069767442,382.10967741935485,239.18924731182796
89,270.11576846307383,329.00399201596804,383.4723926380368,229.30674846625766
90,267.4744094488189,315.6043307086614,384.97484276729557,219.9916142557652
91,265.4093686354379,302.2260692464358,386.6868250539957,211.3390928725702
92,263.6297786720322,289.06036217303824,388.1458333333333,203.40625
93,262.0717299578059,276.21308016877634,390.0820734341253,195.87688984881208
94,260.33916849015316,263.24507658643324,392.13822894168464,188.7732181425486
95,259.39203354297695,250.83018867924528,394.47136563876654,182.18722466960352
96,259.0959488272921,238.60554371002132,396.11,177.112
97,257.5987261146497,226.9087048832272,398.2037422037422,171.6070686070686
98,257.09316770186336,215.1469979296066,400.17745302713985,166.42797494780794
99,256.8046218487395,203.2920168067227,402.5276595744681,162.09787234042554
